theTime,x,y,z,q1,q2,q3,score,(0.0,0, 0.0),(0.0,0, 0.0)
6.32,1.254902,0,-16.1119,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.34,1.379308,0,-17.09106,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.36,1.368825,0,-17.4073,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.38,1.509434,0,-17.71909,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.4,1.509434,0,-17.71909,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.42,1.498122,0,-18.02621,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.44,1.498122,0,-18.02621,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.46,1.647931,0,-18.02621,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.48,1.735846,0,-17.71909,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.5,1.735846,0,-17.71909,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.52,1.853285,0,-16.7696,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.54,2.386828,0,-14.00888,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.56,2.572622,0,-13.63783,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.58,2.70043,0,-12.87731,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.6,2.832625,0,-12.09069,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.62,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.64,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.66,3.083687,0,-10.859,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.68,3.200001,0,-10.43354,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.7,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.72,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.74,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.76,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.78,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.8,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.82,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.84,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.86,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.88,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.9,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.92,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.94,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.96,3.228683,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.98,3.200001,0,-10.43354,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7,3.171793,0,-10.85899,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.02,3.171793,0,-10.85899,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.04,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.06,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.08,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.1,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.12,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.14,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.16,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.18,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.2,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.22,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.24,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.26,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.28,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.3,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.32,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.34,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.36,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.38,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.4,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.42,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.44,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.46,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.48,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.5,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.52,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.54,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.56,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.58,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.6,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.62,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.64,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.66,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.68,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.7,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.72,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.74,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.76,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.78,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.8,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.82,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.84,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.86,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.88,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.9,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.92,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.94,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.96,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
7.98,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.02,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.04,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.059999,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.08,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.099999,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.12,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.139999,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.16,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.179999,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.2,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.22,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.24,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
