theTime,x,y,z,q1,q2,q3,score,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.78,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.8,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.82,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.84,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.86,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.88,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.9,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.92,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.94,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.96,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.98,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.02,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.04,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.06,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.08,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.1,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.12,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.14,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.16,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.18,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.2,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.22,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.24,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.26,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.28,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.3,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.32,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.34,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.36,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.38,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.4,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.42,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.44,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.46,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.48,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.5,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.52,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.54,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.56,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.58,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
