7/31/2019 5:52:56 PM,x,y,z,q1,q2,q3,xvel,yvel,zvel,fx,fy,fz,torque,grav_gain0,flipangle,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdown,goalPos
0.9,30.95022,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(16.2, -7.5, 7.8)
0.92,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(35.4, -7.5, 13.3)
0.94,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(24.9, -7.5, -3.7)
0.96,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(33.5, -7.5, 14.3)
0.98,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(29.5, -7.5, -5.3)
1,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(45.9, -7.5, 6.1)
1.02,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(56.6, -7.5, 23.1)
1.04,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(40.9, -7.5, 10.7)
1.06,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(37.8, -7.5, -9.1)
1.08,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(41.7, -7.5, 10.5)
1.1,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(26.9, -7.5, -2.9)
1.12,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(45.1, -7.5, 5.4)
1.14,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(26.3, -7.5, 12.1)
1.16,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(30.4, -7.5, -7.5)
1.18,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(36.1, -7.5, 11.7)
1.2,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(18.2, -7.5, 2.9)
1.22,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(37.1, -7.5, 9.3)
1.24,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(35.0, -7.5, 29.2)
1.26,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(23.6, -7.5, 12.7)
1.28,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(4.3, -7.5, 7.7)
1.3,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-10.9, -7.5, 20.8)
1.32,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-27.4, -7.5, 9.6)
1.34,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-39.6, -7.5, 25.5)
1.36,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-24.1, -7.5, 12.8)
1.38,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-24.9, -7.5, -7.2)
1.4,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-31.3, -7.5, 11.7)
1.42,48.14479,3.5,0,0,0,90,0,0,0,0,0,0,0,0,180,1,0,0,0,(0.0, 0.0, 0.0),(-12.1, -7.5, 6.3)
